,name,Record Holder 1,Country 1,Detail 1,value,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
1194,"Greatest Big Tournaments Head-to-Head Finals Winning Pct. (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,SUI,6-0 vs A. Roddick,100.00%,,,,,,
1201,Greatest Clay Head-to-Head Finals Winning Pct.,Rafael Nadal,ESP,8-0 vs D. Ferrer,100.00%,,,,,,
1204,Greatest Outdoor Head-to-Head Finals Winning Pct.,Rafael Nadal,ESP,8-0 vs D. Ferrer,100.00%,,,,,,
1210,Greatest Head-to-Head Series Winning Pct.,Rafael Nadal,ESP,130-2-3/135,97.04%,,,,,,
1213,Most Head-to-Head Series Played Vs Once Top 10,Roger Federer,SUI,,77,,,,,,
1215,Most Head-to-Head Series Won Vs Once Top 5,Roger Federer,SUI,,36,,,,,,
1216,Most Head-to-Head Series Won Vs Once Top 10,Roger Federer,SUI,,64,,,,,,
1217,Greatest Head-to-Head Series Winning Pct. Vs Once No. 1,Rafael Nadal,ESP,6-0-1/7,85.71%,,,,,,
1219,Greatest Head-to-Head Series Winning Pct. Vs Once Top 10,Rafael Nadal,ESP,61-1-2/64,96.09%,,,,,,
1220,Highest  Mean Opponent Rank,Novak Djokovic,SRB,,23.8,,,,,,
1229,Highest Hard  Mean Opponent Rank,Novak Djokovic,SRB,,21.4,,,,,,
1230,Highest Clay  Mean Opponent Rank,Rafael Nadal,ESP,,25.1,,,,,,
1233,Highest Outdoor  Mean Opponent Rank,Novak Djokovic,SRB,,25.3,,,,,,
1265,Highest Clay Top 5 Opponent Rank Pct.,Novak Djokovic,SRB,49/303,16.17%,,,,,,
1282,Highest  Mean Opponent Elo Rating,Novak Djokovic,SRB,,2040.2,,,,,,
1283,Highest Grand Slam  Mean Opponent Elo Rating,Novak Djokovic,SRB,,2030.5,,,,,,
1286,Highest Masters  Mean Opponent Elo Rating,Novak Djokovic,SRB,,2073.8,,,,,,
1291,Highest Hard  Mean Opponent Elo Rating,Novak Djokovic,SRB,,2054.7,,,,,,
1292,Highest Clay  Mean Opponent Elo Rating,Rafael Nadal,ESP,,2024.5,,,,,,
1293,Highest Grass  Mean Opponent Elo Rating,Novak Djokovic,SRB,,2012.0,,,,,,
1295,Highest Outdoor  Mean Opponent Elo Rating,Novak Djokovic,SRB,,2034.7,,,,,,
1302,Highest Outdoor  Mean Opponent Elo Rating in Single Season,Novak Djokovic,SRB,2011,2086.5,,,,,,
1308,Highest Mean Opponent Elo Rating Winning Masters Title,Novak Djokovic,SRB,2007 Canada Masters,2237.8,,,,,,
1316,Most Tour Finals Bagels Scored,Roger Federer,SUI,,9,,,,,,
1318,Most Masters Bagels Scored,Novak Djokovic,SRB,,39,,,,,,
1323,Most Bagels Scored Vs No. 1,Rafael Nadal,ESP,,3,,,,,,
1325,Most Bagels Scored Vs Top 10,Roger Federer,SUI,,27,,,,,,
1329,Greatest Tour Finals Bagels Scored Pct.,Roger Federer,SUI,9-177/186,4.84%,,,,,,
1341,Most Grand Slam Breadsticks Scored,Novak Djokovic,SRB,,141,,,,,,
1342,Most Tour Finals Breadsticks Scored,Roger Federer,SUI,,16,,,,,,
1344,Most Masters Breadsticks Scored,Rafael Nadal,ESP,,121,,,,,,
1349,Most Breadsticks Scored Vs No. 1,Rafael Nadal,ESP,,6,,,,,,
1350,Most Breadsticks Scored Vs Top 5,Novak Djokovic,SRB,,32,,,,,,
1351,Most Breadsticks Scored Vs Top 10,Novak Djokovic,SRB,,63,,,,,,
1355,Greatest Tour Finals Breadsticks Scored Pct.,Novak Djokovic,SRB,12-111/123,9.76%,,,,,,
1366,Most GOAT Points,Novak Djokovic,SRB,,941,,,,,,
1367,Most Tournament GOAT Points,Roger Federer,SUI,,566,,,,,,
1368,Most Ranking GOAT Points,Novak Djokovic,SRB,,202,,,,,,
1369,Most Year-End Ranking GOAT Points,Roger Federer,SUI,,83,,,,,,
1370,Most Weeks at No. 1 GOAT Points,Novak Djokovic,SRB,,33,,,,,,
1371,Most Weeks at Elo Top 5 GOAT Points,Roger Federer,SUI,,59,,,,,,
1373,Most Achievements GOAT Points,Novak Djokovic,SRB,,222,,,,,,
1374,Most Grand Slam GOAT Points,Novak Djokovic,SRB,,42,,,,,,
1375,Most Big Wins GOAT Points,Novak Djokovic,SRB,,45,,,,,,
1376,Most Head-to-Head GOAT Points,Novak Djokovic,SRB,,26,,,,,,
1377,Most Records GOAT Points,Novak Djokovic,SRB,,77,,,,,,
1378,Most Best Seasons GOAT Points,Novak Djokovic,SRB,,9,,,,,,
1379,Most Greatest Rivalries GOAT Points,Novak Djokovic,SRB,,8,,,,,,
1381,Most Statistics GOAT Points,Rafael Nadal,ESP,,9,,,,,,
1382,Most GOAT Points in Single Season,Novak Djokovic,SRB,2015,91,,,,,,
1383,Most Tournament GOAT Points in Single Season,Novak Djokovic,SRB,2015,64,,,,,,
1388,Most Big Wins GOAT Points in Single Season,Novak Djokovic,SRB,2015,7.4,,,,,,
1390,Longest First GOAT Point to Last GOAT Point,Roger Federer,SUI,2001-2021,21,,,,,,
1391,Most Consecutive Seasons With at Least One GOAT Point,Roger Federer,SUI,2001-2021,21,,,,,,
1392,Most Hard GOAT Points,Roger Federer,SUI,,471,,,,,,
1393,Most Hard Tournament GOAT Points,Roger Federer,SUI,,370,,,,,,
1394,Most Hard Ranking GOAT Points,Roger Federer,SUI,,48,,,,,,
1395,Most Hard Weeks at Elo Top 5 GOAT Points,Roger Federer,SUI,,32,,,,,,
1396,Most Hard Peak Elo Rating GOAT Points,Novak Djokovic,SRB,,16,,,,,,
1397,Most Hard Achievements GOAT Points,Novak Djokovic,SRB,,70,,,,,,
1398,Most Hard Big Wins GOAT Points,Novak Djokovic,SRB,,31,,,,,,
1399,Most Hard Head-to-Head GOAT Points,Novak Djokovic,SRB,,13,,,,,,
1400,Most Hard Records GOAT Points,Novak Djokovic,SRB,,14,,,,,,
1401,Most Hard Best Seasons GOAT Points,Novak Djokovic,SRB,,6,,,,,,
1402,Most Hard Greatest Rivalries GOAT Points,Novak Djokovic,SRB,,6,,,,,,
1403,Most Clay GOAT Points,Rafael Nadal,ESP,,400,,,,,,
1404,Most Clay Tournament GOAT Points,Rafael Nadal,ESP,,275,,,,,,
1405,Most Clay Ranking GOAT Points,Rafael Nadal,ESP,,59,,,,,,
1406,Most Clay Weeks at Elo Top 5 GOAT Points,Rafael Nadal,ESP,,39,,,,,,
1407,Most Clay Peak Elo Rating GOAT Points,Rafael Nadal,ESP,,16,,,,,,
1408,Most Clay Achievements GOAT Points,Rafael Nadal,ESP,,66,,,,,,
1409,Most Clay Big Wins GOAT Points,Rafael Nadal,ESP,,24,,,,,,
1410,Most Clay Head-to-Head GOAT Points,Rafael Nadal,ESP,,15,,,,,,
1411,Most Clay Records GOAT Points,Rafael Nadal,ESP,,18,,,,,,
1413,Most Clay Greatest Rivalries GOAT Points,Rafael Nadal,ESP,,7,,,,,,
1414,Most Grass GOAT Points,Roger Federer,SUI,,185,,,,,,
1415,Most Grass Tournament GOAT Points,Roger Federer,SUI,,104,,,,,,
1416,Most Grass Ranking GOAT Points,Roger Federer,SUI,,48,,,,,,
1417,Most Grass Weeks at Elo Top 5 GOAT Points,Roger Federer,SUI,,35,,,,,,
1419,Most Grass Achievements GOAT Points,Roger Federer,SUI,,33,,,,,,
1420,Most Grass Big Wins GOAT Points,Roger Federer,SUI,,8,,,,,,
1422,Most Grass Records GOAT Points,Roger Federer,SUI,,15,,,,,,
1436,Most Records,Roger Federer,SUI,,340,,,,,,
1,Most Grand Slam Titles,Roger Federer,SUI,20,20,Rafael Nadal,ESP,20,Novak Djokovic,SRB,20
5,Most Masters Titles,Novak Djokovic,SRB,36,36,Rafael Nadal,ESP,36,,,
9,Most ATP 500/CS Titles,Ivan Lendl,USA,24,24,Roger Federer,SUI,24,,,
46,Most ATP 250/WS Titles at Single Tournament,Guillermo Vilas,ARG,Buenos Aires,7,Roger Federer,SUI,Halle,,,
50,Most Different Masters Slot Titles,Ivan Lendl,USA,9,9,Novak Djokovic,SRB,9,,,
88,Most Outdoor Finals,Roger Federer,SUI,118,118,Rafael Nadal,ESP,118,,,
101,Most Grand Slam Finals in Single Season,Rod Laver,AUS,1969,4,Roger Federer,SUI,2006,Roger Federer,SUI,2007
105,Most Hard Finals in Single Season,Jimmy Connors,USA,1973,11,Novak Djokovic,SRB,2015,,,
113,Most Masters Finals at Single Tournament,Rafael Nadal,ESP,Monte Carlo Masters,12,Rafael Nadal,ESP,Rome Masters,,,
115,Most ATP 250/WS Finals at Single Tournament,Guillermo Vilas,ARG,Buenos Aires,9,Roger Federer,SUI,Halle,,,
144,Most Masters Semi-Finals in Single Season,Rafael Nadal,ESP,2013,8,Novak Djokovic,SRB,2015,,,
145,"Most Big Semi-Finals in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,2012,13,Novak Djokovic,SRB,2015,,,
150,Most Semi-Finals at Single Tournament,Roger Federer,SUI,Basel,16,Roger Federer,SUI,Tour Finals,,,
